studentID,Current_CGPA,Total_Backlogs,Semester_Score,CGPA_Trend,Grade_Trend,Backlog_Trend
E0001,9.07,0,83.0,0.06,0.57,0
E0002,9.39,0,82.25,0.14,1.63,0
E0003,8.16,0,75.625,0.06,0.02,0
E0004,5.48,1,48.8125,-0.05,0.23,-1
E0005,7.63,0,79.25,-0.03,-0.41,-1
E0006,5.85,2,47.8125,-0.16,-0.57,0
E0007,8.39,1,75.0,-0.09,-0.77,0
E0008,7.86,0,78.0,0.08,0.14,0
E0009,7.49,0,78.6875,0.04,-0.04,0
E0010,9.03,0,88.4375,0.11,2.0,0
E0011,7.93,0,82.1875,-0.05,-0.75,-1
E0012,5.13,2,54.0625,0.04,0.85,0
E0013,8.81,0,85.4375,0.12,1.79,0
E0014,8.15,0,79.0625,-0.02,-1.08,0
E0015,9.02,0,85.125,0.03,-0.37,0
E0016,8.02,0,76.4375,-0.02,-0.13,0
E0017,8.85,0,80.0625,0.05,0.79,0
E0018,7.69,0,78.8125,0.03,0.02,0
E0019,5.77,3,54.375,-0.09,0.18,0
E0020,6.26,1,75.9375,-0.04,0.33,0
E0021,8.11,0,77.9375,0.04,0.71,0
E0022,8.22,0,80.4375,-0.03,0.07,0
E0023,7.42,0,77.4375,-0.01,0.08,-1
E0024,6.83,1,75.125,-0.03,-0.28,0
E0025,7.86,0,78.625,0.02,0.24,-1
E0026,7.97,0,79.8125,0.07,1.24,0
E0027,7.81,0,76.125,-0.02,-1.01,0
E0028,7.88,0,76.0625,0.03,0.64,0
E0029,8.09,0,79.6875,0.04,-0.02,0
E0030,9.12,0,85.0625,0.01,-0.19,0
E0031,8.75,0,81.1875,0.09,2.15,0
E0032,8.22,0,77.1875,-0.02,-0.57,0
E0033,8.31,0,77.375,-0.04,-1.45,-1
E0034,5.75,2,49.375,0.04,-0.02,2
E0035,7.72,0,74.5,0.09,0.32,0
E0036,8.08,0,82.5625,0.07,1.3,0
E0037,7.99,0,79.875,-0.0,-0.83,0
E0038,7.23,1,68.0625,-0.08,-1.15,0
E0039,6.77,1,66.8125,0.04,-0.04,1
E0040,7.3,0,74.6875,-0.01,-0.25,0
E0041,7.7,0,77.375,-0.03,-1.03,0
E0042,8.42,0,80.0625,0.02,-0.24,-1
E0043,7.78,0,81.5,-0.04,-0.35,-1
E0044,8.61,0,85.9375,0.14,0.98,0
E0045,8.15,0,75.875,-0.01,-0.88,0
E0046,7.66,0,78.0625,0.05,-0.51,0
E0047,7.93,0,77.0625,-0.0,-0.76,-1
E0048,9.27,0,81.1875,0.08,0.5,0
E0049,5.71,0,53.6875,-0.06,-1.06,0
E0050,9.07,0,83.6875,0.03,-0.6,0
E0051,9.05,0,87.875,0.15,1.79,0
E0052,9.23,0,83.1875,0.12,1.08,0
E0053,7.39,0,69.8125,0.09,0.1,-1
E0054,7.34,1,68.8125,0.08,0.02,1
E0055,8.14,0,72.75,0.04,1.46,0
E0056,5.92,3,46.5,0.03,1.04,1
E0057,8.89,0,84.3125,0.01,0.52,-1
E0058,7.67,0,76.3125,-0.02,0.07,0
E0059,6.31,1,78.1875,-0.09,-1.02,0
E0060,7.39,1,76.8125,-0.03,-0.83,0
E0061,8.22,0,76.3125,0.01,0.95,-1
E0062,7.84,0,82.8125,-0.01,-0.11,-1
E0063,5.2,1,53.5,0.01,0.32,-1
E0064,9.0,0,89.125,0.05,0.08,0
E0065,7.85,0,78.3125,-0.01,0.6,-1
E0066,8.84,0,85.125,0.08,0.97,0
E0067,8.66,0,80.8125,0.02,-0.8,-1
E0068,5.01,3,50.0,0.0,-0.25,0
E0069,7.44,0,68.0,-0.09,-1.92,-1
E0070,8.33,0,74.0625,0.1,2.13,0
E0071,9.08,0,87.6875,0.12,0.67,0
E0072,7.62,0,75.625,-0.02,0.3,0
E0073,7.78,0,79.5,-0.05,0.23,0
E0074,8.23,0,78.6875,0.07,1.66,-1
E0075,5.4,1,55.125,-0.02,-0.91,2
E0076,9.33,0,89.8125,0.11,0.48,0
E0077,8.92,0,87.4375,0.12,2.24,-1
E0078,6.87,0,73.25,-0.09,-1.53,0
E0079,9.12,0,87.75,0.05,0.96,-1
E0080,5.85,3,50.5625,-0.17,-1.86,0
E0081,9.02,0,87.1875,0.13,0.66,0
E0082,7.91,0,72.75,0.04,0.33,0
E0083,8.03,0,81.25,-0.0,0.97,0
E0084,7.63,0,77.875,-0.04,-1.1,-1
E0085,6.02,0,52.0,-0.12,-0.22,0
E0086,9.1,0,84.3125,0.05,0.67,-1
E0087,7.04,1,77.25,0.05,-0.55,1
E0088,7.99,0,79.1875,0.05,1.18,-1
E0089,5.9,1,55.125,0.02,-0.63,0
E0090,9.08,0,89.1875,0.07,1.63,0
E0091,9.17,0,84.5625,0.02,0.87,0
E0092,8.94,0,86.875,0.11,1.81,0
E0093,7.82,0,76.9375,0.06,1.67,0
E0094,8.63,0,79.125,0.03,0.1,0
E0095,6.37,1,48.75,-0.01,-0.55,0
E0096,7.67,0,76.0625,0.02,0.6,0
E0097,5.84,1,67.0,0.0,0.86,0
E0098,8.7,0,84.3125,0.01,0.69,0
E0099,7.66,0,73.9375,-0.05,-1.52,0
E0100,6.89,0,69.3125,-0.08,-1.27,-1
E0101,8.04,0,84.75,-0.05,0.48,0
E0102,8.82,0,86.6875,0.1,1.67,-1
E0103,7.86,0,81.875,-0.0,-0.25,-1
E0104,5.38,0,53.25,-0.07,-0.79,0
E0105,8.61,0,79.75,0.09,0.62,0
E0106,7.65,0,72.375,-0.05,-1.29,1
E0107,7.83,1,78.25,-0.02,0.31,-1
E0108,7.99,0,75.8125,0.06,0.84,0
E0109,5.85,2,53.625,-0.14,-0.58,0
E0110,7.68,0,75.1875,-0.04,-1.25,-1
E0111,5.04,2,50.3125,-0.13,-0.94,1
E0112,6.49,1,72.8125,-0.07,-0.9,0
E0113,7.06,1,65.625,0.09,0.06,1
E0114,8.15,0,84.4375,0.07,1.6,-1
E0115,8.62,0,77.8125,0.05,0.63,0
E0116,7.78,0,76.4375,0.08,0.84,0
E0117,8.18,0,80.4375,0.07,0.71,0
E0118,7.87,0,78.125,-0.02,-1.21,0
E0119,8.27,0,72.6875,0.08,1.34,-1
E0120,6.43,0,69.5625,0.01,-0.19,0
E0121,7.89,0,81.25,0.07,0.88,0
E0122,8.65,0,86.4375,0.13,2.28,-1
E0123,7.89,0,77.3125,-0.0,0.16,0
E0124,8.01,0,78.75,-0.03,0.32,0
E0125,9.09,0,84.4375,0.03,0.28,-1
E0126,8.53,0,85.75,0.06,1.56,0
E0127,7.82,0,78.75,0.07,0.06,0
E0128,5.56,1,43.625,0.02,0.16,0
E0129,7.69,0,79.1875,-0.05,-0.3,0
E0130,7.74,0,77.1875,0.03,1.07,0
E0131,8.01,0,81.25,0.01,0.74,0
E0132,7.78,0,78.25,-0.02,-1.12,0
E0133,5.76,1,49.625,-0.17,-1.73,2
E0134,8.43,0,74.25,0.0,-0.06,-1
E0135,7.94,0,77.0625,0.09,0.86,0
E0136,5.56,2,49.375,-0.12,-1.49,-1
E0137,4.63,1,52.0625,-0.07,0.08,-1
E0138,6.13,0,69.875,0.04,-0.1,0
E0139,7.1,0,74.0625,-0.03,-0.6,0
E0140,7.78,0,79.1875,0.1,1.14,0
E0141,8.81,0,86.25,0.14,2.06,0
E0142,9.28,0,85.875,0.04,1.14,0
E0143,7.47,0,76.1875,0.02,0.64,0
E0144,8.24,0,78.5625,-0.0,-0.9,0
E0145,7.25,0,72.375,-0.04,0.11,0
E0146,5.31,2,53.3125,-0.19,-1.91,2
E0147,7.65,0,78.0625,0.04,-0.64,0
E0148,8.26,0,78.0,0.03,-0.33,0
