studentId,courseId,month,attendancePercent
E0008,PHY101,2024-12,68.4
E0008,PHY101,2024-01,85.7
E0008,PHY101,2024-02,78.4
E0008,PHY101,2024-03,78.1
E0008,PHY101,2024-04,79.8
E0008,PHY101,2024-07,67.7
E0008,PHY101,2024-05,93.2
E0008,CSET201,2024-08,96.1
E0008,CSET201,2024-04,75.2
E0008,CSET201,2024-01,64.5
E0008,CSET201,2024-05,70.3
E0008,CSET201,2024-07,99.7
E0008,CSET201,2024-11,62.5
E0008,CSET240,2024-07,92.3
E0008,CSET240,2024-02,84.3
E0008,CSET240,2024-01,81.6
E0008,CSET240,2024-06,61.5
E0008,CSET240,2024-04,88.1
E0008,CSET240,2024-09,65.9
E0008,CSET240,2024-10,94.4
E0008,CSET240,2024-08,78.3
E0008,CSET240,2024-11,83.4
E0008,CSET240,2024-03,77.8
E0020,MATH201,2024-06,99.8
E0020,MATH201,2024-10,64.1
E0020,MATH201,2024-03,72.8
E0020,MATH201,2024-01,98.0
E0020,MATH201,2024-07,78.0
E0020,MATH201,2024-04,68.3
E0020,PHY101,2024-11,92.2
E0020,PHY101,2024-12,79.7
E0020,PHY101,2024-06,63.3
E0020,PHY101,2024-10,82.9
E0020,PHY101,2024-07,61.4
E0020,PHY101,2024-01,63.8
E0020,PHY101,2024-09,67.6
E0020,PHY101,2024-05,87.7
E0020,CHEM101,2024-05,94.4
E0020,CHEM101,2024-12,68.8
E0020,CHEM101,2024-03,69.5
E0020,CHEM101,2024-02,60.5
E0020,CHEM101,2024-01,85.8
E0020,CHEM101,2024-10,72.0
E0020,CHEM101,2024-06,65.5
E0020,CHEM101,2024-09,85.9
E0023,CSET240,2024-07,84.8
E0023,CSET240,2024-09,96.1
E0023,CSET240,2024-06,64.2
E0023,CSET240,2024-03,99.3
E0023,CSET240,2024-04,79.9
E0023,CSET240,2024-11,60.8
E0023,CSET240,2024-08,85.1
E0023,CSET240,2024-01,77.3
E0023,CSET240,2024-02,90.8
E0023,CSET243,2024-01,82.6
E0023,CSET243,2024-10,94.4
E0023,CSET243,2024-06,98.7
E0023,CSET243,2024-03,71.3
E0023,CSET243,2024-04,99.0
E0023,CSET243,2024-11,82.9
