studentID,Current_CGPA,CourseID,Quiz_1,Quiz_2,Quiz_3,Midterm
E0001,9.07,CSET243,52,75,93,72
E0001,9.07,CSET240,88,88,77,96
E0001,9.07,CSET211,64,98,83,71
E0001,9.07,CSET201,88,83,100,100
E0002,9.39,CSET243,62,87,71,67
E0002,9.39,CSET240,61,100,74,88
E0002,9.39,CSET211,75,100,81,86
E0002,9.39,CSET201,93,93,87,91
E0003,8.16,CSET243,60,69,61,52
E0003,8.16,CSET240,68,90,93,58
E0003,8.16,CSET211,57,89,71,86
E0003,8.16,CSET201,93,79,89,95
E0004,5.48,CSET243,30,26,46,37
E0004,5.48,CSET240,61,36,42,62
E0004,5.48,CSET211,52,46,60,43
E0004,5.48,CSET201,49,67,64,60
E0005,7.63,CSET243,41,56,66,61
E0005,7.63,CSET240,70,99,91,93
E0005,7.63,CSET211,70,82,83,93
E0005,7.63,CSET201,96,96,85,86
E0006,5.85,CSET243,33,51,29,20
E0006,5.85,CSET240,56,67,34,43
E0006,5.85,CSET211,65,64,43,41
E0006,5.85,CSET201,55,56,57,51
E0007,8.39,CSET243,47,68,60,44
E0007,8.39,CSET240,76,59,69,85
E0007,8.39,CSET211,85,91,75,80
E0007,8.39,CSET201,90,89,92,90
E0008,7.86,CSET243,77,20,63,69
E0008,7.86,CSET240,81,91,84,90
E0008,7.86,CSET211,77,74,100,62
E0008,7.86,CSET201,83,84,95,98
E0009,7.49,CSET243,77,70,75,46
E0009,7.49,CSET240,83,75,75,72
E0009,7.49,CSET211,82,73,86,86
E0009,7.49,CSET201,91,84,88,96
E0010,9.03,CSET243,70,72,77,73
E0010,9.03,CSET240,88,75,92,85
E0010,9.03,CSET211,100,99,100,93
E0010,9.03,CSET201,92,100,100,99
E0011,7.93,CSET243,90,68,61,89
E0011,7.93,CSET240,87,91,93,66
E0011,7.93,CSET211,98,65,80,82
E0011,7.93,CSET201,76,97,85,87
E0012,5.13,CSET243,41,60,34,29
E0012,5.13,CSET240,58,42,62,49
E0012,5.13,CSET211,59,52,54,68
E0012,5.13,CSET201,64,62,64,67
E0013,8.81,CSET243,71,72,75,61
E0013,8.81,CSET240,76,100,98,73
E0013,8.81,CSET211,88,82,96,91
E0013,8.81,CSET201,100,100,92,92
E0014,8.15,CSET243,66,69,82,47
E0014,8.15,CSET240,80,89,77,66
E0014,8.15,CSET211,84,85,81,85
E0014,8.15,CSET201,76,94,93,91
E0015,9.02,CSET243,95,97,64,53
E0015,9.02,CSET240,89,33,79,84
E0015,9.02,CSET211,88,90,97,100
E0015,9.02,CSET201,100,98,98,97
E0016,8.02,CSET243,49,38,68,50
E0016,8.02,CSET240,82,67,99,84
E0016,8.02,CSET211,93,79,67,82
E0016,8.02,CSET201,87,98,88,92
E0017,8.85,CSET243,56,55,65,72
E0017,8.85,CSET240,68,77,84,100
E0017,8.85,CSET211,65,84,91,91
E0017,8.85,CSET201,100,89,85,99
E0018,7.69,CSET243,56,66,62,60
E0018,7.69,CSET240,76,64,100,80
E0018,7.69,CSET211,95,79,79,95
E0018,7.69,CSET201,88,87,81,93
E0019,5.77,CSET243,44,47,26,41
E0019,5.77,CSET240,69,53,60,51
E0019,5.77,CSET211,65,42,54,66
E0019,5.77,CSET201,62,62,62,66
E0020,6.26,CSET243,59,43,58,48
E0020,6.26,CSET240,90,59,86,87
E0020,6.26,CSET211,78,77,73,84
E0020,6.26,CSET201,100,96,90,87
E0021,8.11,CSET243,73,74,70,37
E0021,8.11,CSET240,76,92,69,88
E0021,8.11,CSET211,90,72,84,81
E0021,8.11,CSET201,84,85,87,85
E0022,8.22,CSET243,92,61,70,75
E0022,8.22,CSET240,84,69,84,79
E0022,8.22,CSET211,90,78,71,82
E0022,8.22,CSET201,89,87,82,94
E0023,7.42,CSET243,64,73,40,61
E0023,7.42,CSET240,69,85,74,84
E0023,7.42,CSET211,80,82,89,81
E0023,7.42,CSET201,95,92,90,80
E0024,6.83,CSET243,86,58,71,63
E0024,6.83,CSET240,49,61,55,75
E0024,6.83,CSET211,87,67,81,80
E0024,6.83,CSET201,86,100,94,89
E0025,7.86,CSET243,74,46,74,71
E0025,7.86,CSET240,74,97,56,85
E0025,7.86,CSET211,86,79,79,77
E0025,7.86,CSET201,99,95,76,90
E0026,7.97,CSET243,57,72,98,52
E0026,7.97,CSET240,56,85,72,83
E0026,7.97,CSET211,100,100,100,66
E0026,7.97,CSET201,84,75,88,89
E0027,7.81,CSET243,68,70,69,55
E0027,7.81,CSET240,77,58,86,76
E0027,7.81,CSET211,64,74,73,77
E0027,7.81,CSET201,86,95,93,97
E0028,7.88,CSET243,71,61,62,70
E0028,7.88,CSET240,80,72,62,79
E0028,7.88,CSET211,82,69,77,62
E0028,7.88,CSET201,87,96,92,95
E0029,8.09,CSET243,44,82,92,80
E0029,8.09,CSET240,61,76,88,81
E0029,8.09,CSET211,72,71,66,94
E0029,8.09,CSET201,88,100,87,93
E0030,9.12,CSET243,96,81,65,60
E0030,9.12,CSET240,80,100,69,67
E0030,9.12,CSET211,82,83,96,92
E0030,9.12,CSET201,93,100,100,97
E0031,8.75,CSET243,80,41,33,89
E0031,8.75,CSET240,96,91,98,85
E0031,8.75,CSET211,94,82,58,82
E0031,8.75,CSET201,89,88,98,95
E0032,8.22,CSET243,69,54,38,57
E0032,8.22,CSET240,68,97,77,85
