studentID,CourseID,Month,Attendance_Percentage
E0001,CSET243,July,95
E0001,CSET243,August,98
E0001,CSET243,September,100
E0001,CSET243,October,100
E0001,CSET243,November,99
E0001,CSET243,December,96
E0001,CSET240,July,100
E0001,CSET240,August,99
E0001,CSET240,September,100
E0001,CSET240,October,93
E0001,CSET240,November,97
E0001,CSET240,December,96
E0001,CSET211,July,97
E0001,CSET211,August,100
E0001,CSET211,September,98
E0001,CSET211,October,99
E0001,CSET211,November,93
E0001,CSET211,December,95
E0001,CSET201,July,95
E0001,CSET201,August,97
E0001,CSET201,September,94
E0001,CSET201,October,100
E0001,CSET201,November,95
E0001,CSET201,December,97
E0002,CSET243,July,98
E0002,CSET243,August,97
E0002,CSET243,September,95
E0002,CSET243,October,96
E0002,CSET243,November,96
E0002,CSET243,December,100
E0002,CSET240,July,100
E0002,CSET240,August,93
E0002,CSET240,September,96
E0002,CSET240,October,96
E0002,CSET240,November,95
E0002,CSET240,December,92
E0002,CSET211,July,96
E0002,CSET211,August,94
E0002,CSET211,September,94
E0002,CSET211,October,95
E0002,CSET211,November,97
E0002,CSET211,December,92
E0002,CSET201,July,99
E0002,CSET201,August,96
E0002,CSET201,September,94
E0002,CSET201,October,99
E0002,CSET201,November,100
E0002,CSET201,December,98
E0003,CSET243,July,88
E0003,CSET243,August,93
E0003,CSET243,September,86
E0003,CSET243,October,82
E0003,CSET243,November,84
E0003,CSET243,December,80
E0003,CSET240,July,93
E0003,CSET240,August,94
E0003,CSET240,September,89
E0003,CSET240,October,90
E0003,CSET240,November,88
E0003,CSET240,December,89
E0003,CSET211,July,90
E0003,CSET211,August,85
E0003,CSET211,September,94
E0003,CSET211,October,86
E0003,CSET211,November,83
E0003,CSET211,December,81
E0003,CSET201,July,88
E0003,CSET201,August,91
E0003,CSET201,September,90
E0003,CSET201,October,84
E0003,CSET201,November,87
E0003,CSET201,December,80
E0004,CSET243,July,64
E0004,CSET243,August,52
E0004,CSET243,September,50
E0004,CSET243,October,47
E0004,CSET243,November,34
E0004,CSET243,December,29
E0004,CSET240,July,55
E0004,CSET240,August,59
E0004,CSET240,September,49
E0004,CSET240,October,44
E0004,CSET240,November,36
E0004,CSET240,December,33
E0004,CSET211,July,65
E0004,CSET211,August,53
E0004,CSET211,September,46
E0004,CSET211,October,44
E0004,CSET211,November,38
E0004,CSET211,December,35
E0004,CSET201,July,58
E0004,CSET201,August,50
E0004,CSET201,September,45
E0004,CSET201,October,44
E0004,CSET201,November,47
E0004,CSET201,December,39
E0005,CSET243,July,91
E0005,CSET243,August,89
E0005,CSET243,September,83
E0005,CSET243,October,84
